ID	STRUCTURE	FREQUENCY	Arhuaco	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa	COGNATESETS	CONCEPTS
1-2	V	2	a	a	a	e	a	a	a	a	ɨ	Ø	a	a	a	a	a	oː	a	a	ɔ	a	aː	e	a	a	325:2, 718:1	neck / thou
5-2	V	2	a	uː	a	ʊ	a	ʊ	Ø	a	a	a	a	a	Ø	Ø	a	iː	Ø	Ø	a	Ø	aː	a	o	Ø	145:3, 586:3	mouth / sing (v.)
29-2	V	2	a	Ø	Ø	-	Ø	Ø	i	i	i	Ø	a	a	Ø	i	a	Ø	-	-	-	Ø	a	-	a	Ø	1304:0, 1383:4	new / small
34-2	V	2	a	Ø	u	u	a	u	Ø	a	a	Ø	a	a	Ø	Ø	a	-	Ø	Ø	a	Ø	-	a	o	Ø	618:4, 692:1	bark (of tree) / five
42-2	V	2	a	Ø	o	Ø	o	Ø	Ø	e	ɨ	Ø	a	o	Ø	Ø	ə	o	Ø	Ø	u	Ø	a	o	Ø	Ø	618:0, 1074:1	cry (v.) / five
45-2	V	2	a	ã	Ø	-	Ø	i	i	Ø	Ø	Ø	-	Ø	Ø	a	a	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	586:1, 798:3	sing (v.) / this
47-2	V	2	a	aː	a	Ø	Ø	ã	a	Ø	ɨ	Ø	a	Ø	Ø	Ø	a	aː	aː	Ø	Ø	ã	Ø	Ø	Ø	aː	492:1, 730:0	give (v.) / head
176-1	V	1	a	Ø	a	-	a	-	Ø	a	ɨ	Ø	a	a	Ø	Ø	a	a	Ø	Ø	ɔ	Ø	Ø	a	-	Ø	706:1	four
177-1	V	1	a	Ø	-	-	a	-	Ø	a	a	Ø	a	a	Ø	Ø	a	iː	Ø	Ø	ɔ	Ø	Ø	e	-	Ø	706:4	four
203-1	V	1	a	aː	Ø	u	Ø	Ø	Ø	o	e	Ø	Ø	i	Ø	Ø	Ø	iː	Ø	Ø	-	Ø	Ø	-	Ø	Ø	1061:3	moon
213-1	V	1	a	Ø	Ø	Ø	e	Ø	Ø	Ø	u	a	u	Ø	Ø	Ø	a	u	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1140:2	kill (v.)
224-1	V	1	a	ẽ	Ø	Ø	Ø	Ø	Ø	a	-	a	ɯ	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1275:3	night
156-14	V	14	-	i	-	-	e	a	i	a	a	i	i	Ø	i	i	i	i	i	i	a	Ø	Ø	i	o	i	149:3, 586:4, 115:6, 129:1, 232:1, 423:1, 459:2, 582:1, 682:2, 794:2, 796:1, 1198:1, 1212:1, 1351:1	I / at / black / drink (v.) / dry / fasten / few / laugh (v.) / sing (v.) / what / white / wind
84-6	V	6	-	-	o	a	a	a	Ø	a	ɨ	Ø	a	a	Ø	Ø	i	a	aː	Ø	-	Ø	-	a	a	Ø	64:0, 784:0, 919:3, 1192:2, 1214:1, 1373:1	black / he / sister / stone / white / woman
129-4	V	4	-	u	-	ɪ	-	a	Ø	u	u	-	i	Ø	e	e	u	oː	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	238:1, 272:1, 1226:3, 1243:1	child / dry / no / sun
