ID	STRUCTURE	FREQUENCY	jugankhanty	kazymkhanty	kondakhanty	kondamansi	likrisovskojekhanty	malyjjugankhanty	middlelozvamansi	nizjamkhanty	northmansi	obdorskkhanty	pelymkamansi	sherkalykhanty	synjakhanty	tavdamansi	tremjugankhanty	upperdemjankakhanty	vakhkhanty	vartovskojekhanty	vasjugankhanty	verkhnekalymskkhanty	COGNATESETS	CONCEPTS
263-1	V	1	Ø	Ø	Ø	ɔu	Ø	Ø	oɔ	Ø	a	Ø	ɔu	Ø	Ø	ɔu	Ø	Ø	Ø	Ø	Ø	Ø	240:1	many
87-5	V	5	uː	ɵː	uː	ɔ	uː	uː	ɔ	uː	o	oː	ɔ	uː	uː	o	uː	uː	uː	uː	uː	uː	25:1, 61:1, 77:0, 87:1, 177:1	big / die / mouth / round / smoke
132-1	V	1	uː	Ø	uː	o	uː	uː	u	uː	aː	Ø	əi	uː	Ø	a	uː	oː	uː	uː	uː	uː	70:1	see
155-1	V	1	uː	u	uː	i	uː	uː	i	uː	i	uː	uː	uː	u	i	uː	uː	uː	uː	uː	uː	111:1	tree
221-1	V	1	uː	u	uː	u	uː	uː	u	u	u	uː	u	u	u	o	uː	uː	uː	uː	uː	uː	204:1	fish
248-1	V	1	uː	-	Ø	Ø	Ø	Ø	Ø	uː	-	oː	Ø	uː	uː	Ø	-	-	Ø	Ø	Ø	Ø	227:0	know
252-1	V	1	uː	o	uː	əː	uː	uː	əː	uː	a	a	ə	uː	Ø	ai	uː	uː	uː	Ø	uː	uː	234:1	liver
78-4	V	4	oː	ɵː	uː	o	uː	oː	u	uː	u	oː	u	uː	uː	u	oː	oː	uː	uː	uː	uː	78:1, 233:1, 169:1, 239:1	cloud / lie / man / sleep
86-4	V	4	oː	ɔː	oː	u	aː	aː	u	ɔː	u	aː	u	ɔː	o	o	ɔː	oː	aː	Ø	aː	aː	12:1, 88:1, 89:1, 90:2	bird / die / stand
18-2	V	2	oː	ɵː	uː	oː	oː	oː	o	uː	ɔː	oː	oː	uː	uː	ɔ	oː	uː	ɔː	oː	ɔː	oː	50:1, 220:1	hear / road
51-2	V	2	oː	ɵː	uː	u	oː	oː	u	uː	Ø	oː	u	uː	uː	oː	oː	uː	ɔː	oː	ɔː	oː	23:1, 93:1	mouth / star
75-2	V	2	oː	Ø	oː	u	aː	oː	u	ɔː	u	Ø	Ø	ɔː	Ø	oː	oː	oː	ɔː	oː	Ø	oː	194:1, 221:1	ashes / egg
188-1	V	1	oː	ɵː	oː	ou	a	o	æ	uː	ou	oː	æ	uː	uː	Ø	o	oː	oː	ɔ	oː	oː	151:1	thin
230-1	V	1	oː	ɵː	uː	-	oː	oː	-	uː	-	oː	-	uː	uː	-	oː	uː	aː	aː	aː	aː	215:0	hair
237-1	V	1	oː	o	uː	Ø	Ø	oː	Ø	uː	Ø	o	Ø	uː	o	Ø	oː	uː	ɔː	oː	ɔː	oː	219:0	head
64-4	V	4	o	o	a	ɔ	o	o	a	o	o	a	a	o	o	ɔ	o	a	o	o	o	o	32:1, 47:1, 84:1, 229:1	know / nose / rain / smoke
3-2	V	2	o	o	o	ɔu	o	o	ɔu	o	ɔ	o	ɔu	o	o	Ø	o	o	o	o	o	o	46:1, 76:1	belly / skin
19-2	V	2	o	u	o	o	o	o	u	u	u	a	u	u	o	o	o	e	o	o	o	o	164:1, 238:1	bone / man
27-2	V	2	o	u	o	Ø	ɔ	o	Ø	u	Ø	o	Ø	u	u	Ø	o	o	oː	ɔ	oː	oː	131:1, 236:1	far / long
121-1	V	1	o	Ø	uː	Ø	ɔ	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	o	Ø	oː	ɔ	oː	oː	55:1	root
154-1	V	1	o	o	a	o	o	o	u	o	u	a	u	o	o	u	o	a	o	Ø	o	o	110:1	bite
169-1	V	1	o	o	o	o	Ø	Ø	a	o	ɔː	o	ɔ	o	o	ɔ	o	o	ɔː	Ø	ɔː	Ø	126:1	who
218-1	V	1	o	o	yː	u	oː	o	u	Ø	oː	a	u	Ø	o	ɔː	o	uː	oː	oː	oː	oː	197:1	fat n.
166-1	V	1	iː	iː	ə	Ø	iː	iː	Ø	ə	Ø	iː	Ø	ə	iː	Ø	iː	ə	iː	iː	iː	iː	123:3	white
214-1	V	1	iː	ɛː	eː	ə	iː	iː	i	eː	eː	iː	eː	eː	eː	æ	iː	eː	iː	iː	iː	iː	192:1	eat
82-3	V	3	eː	aː	æː	Ø	eː	eː	Ø	aː	Ø	æː	Ø	aː	aː	Ø	eː	æː	œː	œː	œː	œː	51:1, 115:1, 145:1	road / snake / warm
20-2	V	2	eː	ɛː	eː	eː	iː	eː	eː	eː	eː	iː	eː	eː	eː	iː	eː	eː	iː	iː	iː	iː	122:1, 127:1	black / woman
60-2	V	2	eː	a	æ	ə	iː	iː	ə	a	i	Ø	i	a	a	i	eː	æ	iː	iː	iː	iː	106:1, 184:1	drink / this
165-1	V	1	eː	o	a	Ø	æː	eː	Ø	o	Ø	æː	Ø	o	o	Ø	eː	o	æː	æː	æː	æː	123:1	white
77-6	V	6	e	a	e	ə	e	e	iː	a	Ø	æ	iː	a	a	iː	e	e	e	e	e	e	31:1, 36:0, 52:1, 163:1, 170:1, 206:1	blood / cloud / fly v. / night / not / road
65-5	V	5	e	u	e	ɨ	e	e	y	u	ɨ	uː	y	u	u	uː	e	e	e	e	e	e	26:0, 49:1, 158:1, 162:1, 168:0	all / blood / mouth / red / worm
49-3	V	3	e	i	e	æ	e	e	æː	i	uː	iː	æ	i	i	ə	e	e	e	e	e	e	37:0, 59:1, 116:1	one / round / water
10-2	V	2	e	i	e	ɨː	e	e	ɨː	i	eː	uː	ɨː	i	i	Ø	e	e	e	e	e	e	101:1, 142:1	black / tail
25-2	V	2	e	a	e	æ	e	e	æ	a	a	æ	æ	a	Ø	i	e	e	e	e	e	e	139:1, 190:1	ear / salt
54-2	V	2	e	u	e	æ	Ø	Ø	æ	u	a	a	æ	u	u	u	e	e	œ	Ø	œ	Ø	44:1, 119:1	rain / what
62-2	V	2	e	i	e	ə	Ø	Ø	ɨː	i	ɨː	i	ə	i	i	æ	e	e	e	Ø	e	e	171:0, 205:1	cold / fly v.
106-1	V	1	e	i	e	e	e	e	æ	i	i	iː	æ	a	a	e	e	e	e	e	e	e	29:1	new
127-1	V	1	e	Ø	eː	æ	e	e	æ	Ø	æ	Ø	æ	Ø	Ø	æ	e	eː	e	e	e	e	68:0	big
157-1	V	1	e	a	e	ə	Ø	Ø	i	a	i	æ	i	a	a	i	e	e	e	Ø	e	e	113:1	walk(go)
160-1	V	1	e	u	o	ɔ	Ø	Ø	a	o	a	uː	a	o	u	æ	e	o	e	Ø	e	Ø	118:1	we
211-1	V	1	e	u	e	əː	Ø	Ø	əː	i	aː	uː	əː	i	u	aː	e	e	e	Ø	e	e	191:1	earth
220-1	V	1	e	u	yː	ɔu	e	e	oɔ	u	Ø	uː	Ø	u	u	æ	e	yː	œ	œ	œ	œ	202:1	fire
225-1	V	1	e	a	e	ə	Ø	Ø	i	a	ɨː	æ	æ	a	a	æ	e	e	e	Ø	e	Ø	211:1	give
226-1	V	1	e	a	e	ɔ	e	e	æ	a	ɔ	iː	ɔ	a	a	u	e	e	e	e	e	e	212:1	good
240-1	V	1	e	a	e	ə	e	e	i	a	i	æ	i	a	a	ɔ	e	e	e	e	e	e	222:1	heart
57-8	V	8	a	o	a	Ø	a	a	Ø	o	Ø	a	Ø	o	o	Ø	a	a	a	a	a	a	79:0, 231:0, 9:1, 43:1, 62:1, 69:1, 195:1, 214:1	egg / green / lie / person / salt / sand / say / sleep
33-2	V	2	a	a	a	o	a	a	ɔ	a	ɔː	a	ɔ	a	a	ɔ	a	a	Ø	Ø	Ø	Ø	40:1, 96:1	person / sun
264-1	V	1	a	o	o	ou	a	a	ou	o	ɔ	o	ɔu	o	o	əː	a	o	oː	oː	oː	oː	242:1	meat
90-3	V	3	-	ɵː	Ø	ə	Ø	Ø	ə	-	aː	-	ə	-	ə	æ	uː	oː	Ø	Ø	Ø	Ø	17:0, 94:0, 227:2	know / mountain / stone
124-1	V	1	-	Ø	Ø	ə	Ø	Ø	-	Ø	ə	Ø	ə	Ø	Ø	u	-	Ø	Ø	Ø	Ø	Ø	59:3	round
130-1	V	1	-	Ø	ə	i	ə	-	i	Ø	ɨ	Ø	i	Ø	Ø	u	-	ə	ə	ə	ə	ə	68:3	big
144-1	V	1	-	-	-	ə	-	-	ə	ə	æ	ə	ə	ə	ə	ə	-	-	Ø	Ø	Ø	Ø	96:3	sun
254-1	V	1	-	ə	ə	-	ə	ə	-	ə	-	ə	-	ə	Ø	-	ə	ə	ə	Ø	ə	ə	234:3	liver
39-10	C	10	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	108:0, 242:0, 144:0, 213:0, 89:2, 228:2, 13:0, 32:0, 61:0, 185:2	drink / egg / green / know / meat / nose / round / snake / stand / tongue
38-4	C	4	ɭ	ɭ	l	l	ɭ	ɭ	l	l	l	l	l	l	ɭ	l	ɭ	l	ɭ	ɭ	ɭ	ɭ	45:0, 51:0, 230:0, 69:0	leaf / rain / road / say
97-1	C	1	ɬː	ɬ	t	Ø	θ	ɬː	Ø	t	Ø	l	Ø	t	Ø	Ø	ɬː	t	l	ɬ	l	l	9:2	salt
